idx;util;clip;label;overlap_ratio;concepts;id;movie;srt_name;video_name;graph_number
47;1;tt0108160scene-048.ss-0262.es-0268;Sure;0.96;['Speech', ' Exp of  emotion'];tt0108160-048;tt0108160;scene-048.ss-0262.es-0268.srt;tt0108160_scene_48.avi;47
48;1;tt0108160scene-049.ss-0269.es-0274;Sure;1.00;['Speech', ' Exp of  emotion'];tt0108160-049;tt0108160;scene-049.ss-0269.es-0274.srt;tt0108160_scene_49.avi;48
49;1;tt0108160scene-050.ss-0275.es-0279;Easy Neg;0.84;[''];tt0108160-050;tt0108160;scene-050.ss-0275.es-0279.srt;tt0108160_scene_50.avi;49
50;1;tt0108160scene-051.ss-0280.es-0294;Not Sure;0.22;['Speech', ' Activities'];tt0108160-051;tt0108160;scene-051.ss-0280.es-0294.srt;tt0108160_scene_51.avi;50
51;0;tt0108160scene-052.ss-0295.es-0304;Hard Neg;0.80;['Type of plan', ' Look'];tt0108160-052;tt0108160;scene-052.ss-0295.es-0304.srt;;-1
52;1;tt0108160scene-053.ss-0305.es-0306;Easy Neg;0.96;[''];tt0108160-053;tt0108160;scene-053.ss-0305.es-0306.srt;tt0108160_scene_53.avi;52
53;1;tt0108160scene-054.ss-0307.es-0331;Easy Neg;1.00;[''];tt0108160-054;tt0108160;scene-054.ss-0307.es-0331.srt;tt0108160_scene_54.avi;53
54;1;tt0108160scene-055.ss-0332.es-0332;Easy Neg;1.00;[''];tt0108160-055;tt0108160;scene-055.ss-0332.es-0332.srt;tt0108160_scene_55.avi;54
55;1;tt0108160scene-056.ss-0333.es-0333;Easy Neg;0.99;[''];tt0108160-056;tt0108160;scene-056.ss-0333.es-0333.srt;tt0108160_scene_56.avi;-1
56;1;tt0108160scene-057.ss-0334.es-0343;Easy Neg;1.00;[''];tt0108160-057;tt0108160;scene-057.ss-0334.es-0343.srt;tt0108160_scene_57.avi;56
57;1;tt0108160scene-058.ss-0344.es-0352;Not Sure;0.81;['Voice', ' Clothes'];tt0108160-058;tt0108160;scene-058.ss-0344.es-0352.srt;tt0108160_scene_58.avi;57
58;1;tt0108160scene-059.ss-0353.es-0356;Sure;0.23;['Appearance', ' Activities', ' Look'];tt0108160-059;tt0108160;scene-059.ss-0353.es-0356.srt;tt0108160_scene_59.avi;58
59;1;tt0108160scene-060.ss-0357.es-0361;Sure;0.30;['Voice'];tt0108160-060;tt0108160;scene-060.ss-0357.es-0361.srt;tt0108160_scene_60.avi;59
60;1;tt0108160scene-061.ss-0362.es-0369;Not Sure;1.00;['Look'];tt0108160-061;tt0108160;scene-061.ss-0362.es-0369.srt;tt0108160_scene_61.avi;60
61;1;tt0108160scene-062.ss-0370.es-0374;Not Sure;0.90;['Speech', ' Activities'];tt0108160-062;tt0108160;scene-062.ss-0370.es-0374.srt;tt0108160_scene_62.avi;61
62;1;tt0108160scene-063.ss-0375.es-0381;Sure;0.82;['Voice'];tt0108160-063;tt0108160;scene-063.ss-0375.es-0381.srt;tt0108160_scene_63.avi;62
63;1;tt0108160scene-064.ss-0382.es-0385;Sure;1.00;['Voice', ' Speech', ' Activities'];tt0108160-064;tt0108160;scene-064.ss-0382.es-0385.srt;tt0108160_scene_64.avi;63
64;1;tt0108160scene-065.ss-0386.es-0388;Sure;1.00;['Voice', ' Speech', ' Activities'];tt0108160-065;tt0108160;scene-065.ss-0386.es-0388.srt;tt0108160_scene_65.avi;64
65;1;tt0108160scene-066.ss-0389.es-0394;Hard Neg;1.00;['Voice'];tt0108160-066;tt0108160;scene-066.ss-0389.es-0394.srt;tt0108160_scene_66.avi;65
66;1;tt0108160scene-067.ss-0395.es-0397;Hard Neg;0.98;['Activities', ' Exp of  emotion'];tt0108160-067;tt0108160;scene-067.ss-0395.es-0397.srt;tt0108160_scene_67.avi;66
67;1;tt0108160scene-068.ss-0398.es-0402;Hard Neg;1.00;['Activities', ' Exp of  emotion'];tt0108160-068;tt0108160;scene-068.ss-0398.es-0402.srt;tt0108160_scene_68.avi;67
68;1;tt0108160scene-069.ss-0403.es-0412;Hard Neg;1.00;['Activities', ' Exp of  emotion'];tt0108160-069;tt0108160;scene-069.ss-0403.es-0412.srt;tt0108160_scene_69.avi;68
69;1;tt0108160scene-070.ss-0413.es-0414;Hard Neg;1.00;['Activities', ' Exp of  emotion'];tt0108160-070;tt0108160;scene-070.ss-0413.es-0414.srt;tt0108160_scene_70.avi;69
70;1;tt0108160scene-071.ss-0415.es-0419;Easy Neg;1.00;[''];tt0108160-071;tt0108160;scene-071.ss-0415.es-0419.srt;tt0108160_scene_71.avi;70
71;1;tt0108160scene-072.ss-0420.es-0420;Easy Neg;1.00;[''];tt0108160-072;tt0108160;scene-072.ss-0420.es-0420.srt;tt0108160_scene_72.avi;71
72;1;tt0108160scene-073.ss-0421.es-0421;Hard Neg;0.61;['Speech'];tt0108160-073;tt0108160;scene-073.ss-0421.es-0421.srt;tt0108160_scene_73.avi;72
73;0;tt0108160scene-074.ss-0422.es-0422;Hard Neg;1.00;['Speech'];tt0108160-074;tt0108160;scene-074.ss-0422.es-0422.srt;;-1
74;1;tt0108160scene-075.ss-0423.es-0423;Hard Neg;1.00;['Speech'];tt0108160-075;tt0108160;scene-075.ss-0423.es-0423.srt;tt0108160_scene_75.avi;74
75;1;tt0108160scene-076.ss-0424.es-0437;Not Sure;0.22;['Look'];tt0108160-076;tt0108160;scene-076.ss-0424.es-0437.srt;tt0108160_scene_76.avi;75
76;1;tt0108160scene-077.ss-0438.es-0447;Sure;0.72;['Type of plan', ' Posture', ' Look', ' Soundtrack'];tt0108160-077;tt0108160;scene-077.ss-0438.es-0447.srt;tt0108160_scene_77.avi;76
77;0;tt0108160scene-078.ss-0448.es-0460;Hard Neg;0.90;['Look'];tt0108160-078;tt0108160;scene-078.ss-0448.es-0460.srt;;-1
78;1;tt0108160scene-079.ss-0461.es-0472;Hard Neg;1.00;['Look'];tt0108160-079;tt0108160;scene-079.ss-0461.es-0472.srt;tt0108160_scene_79.avi;78
79;1;tt0108160scene-080.ss-0473.es-0474;Not Sure;1.00;['Posture', ' Speech', ' Exp of  emotion'];tt0108160-080;tt0108160;scene-080.ss-0473.es-0474.srt;tt0108160_scene_80.avi;79
80;1;tt0108160scene-081.ss-0475.es-0488;Hard Neg;0.91;['Look'];tt0108160-081;tt0108160;scene-081.ss-0475.es-0488.srt;tt0108160_scene_81.avi;80
81;1;tt0108160scene-082.ss-0489.es-0513;Hard Neg;1.00;['Look'];tt0108160-082;tt0108160;scene-082.ss-0489.es-0513.srt;tt0108160_scene_82.avi;81
82;0;tt0108160scene-083.ss-0514.es-0514;Hard Neg;0.94;['Look'];tt0108160-083;tt0108160;scene-083.ss-0514.es-0514.srt;;-1
83;1;tt0108160scene-084.ss-0515.es-0517;Sure;0.95;['Voice', ' Speech'];tt0108160-084;tt0108160;scene-084.ss-0515.es-0517.srt;tt0108160_scene_84.avi;83
84;1;tt0108160scene-085.ss-0518.es-0524;Sure;1.00;['Voice', ' Speech'];tt0108160-085;tt0108160;scene-085.ss-0518.es-0524.srt;tt0108160_scene_85.avi;84
85;1;tt0108160scene-086.ss-0525.es-0533;Sure;1.00;['Voice', ' Speech'];tt0108160-086;tt0108160;scene-086.ss-0525.es-0533.srt;;85
86;1;tt0108160scene-087.ss-0534.es-0547;Sure;0.91;['Voice', ' Speech', ' Exp of  emotion'];tt0108160-087;tt0108160;scene-087.ss-0534.es-0547.srt;tt0108160_scene_87.avi;86
87;1;tt0108160scene-088.ss-0548.es-0555;Sure;1.00;['Voice', ' Speech', ' Exp of  emotion'];tt0108160-088;tt0108160;scene-088.ss-0548.es-0555.srt;;87
88;1;tt0108160scene-089.ss-0556.es-0566;Sure;0.29;['Voice', ' Posture', ' Activities', ' Exp of  emotion'];tt0108160-089;tt0108160;scene-089.ss-0556.es-0566.srt;tt0108160_scene_89.avi;88
89;1;tt0108160scene-090.ss-0567.es-0573;Hard Neg;1.00;['Exp of  emotion'];tt0108160-090;tt0108160;scene-090.ss-0567.es-0573.srt;tt0108160_scene_90.avi;89
90;0;tt0108160scene-091.ss-0574.es-0574;Not Sure;0.29;['Soundtrack'];tt0108160-091;tt0108160;scene-091.ss-0574.es-0574.srt;;-1
91;1;tt0108160scene-092.ss-0575.es-0575;Not Sure;1.00;['Soundtrack'];tt0108160-092;tt0108160;scene-092.ss-0575.es-0575.srt;tt0108160_scene_92.avi;91
92;1;tt0108160scene-093.ss-0576.es-0581;Not Sure;0.25;['Soundtrack'];tt0108160-093;tt0108160;scene-093.ss-0576.es-0581.srt;tt0108160_scene_93.avi;92
93;1;tt0108160scene-094.ss-0582.es-0588;Not Sure;0.55;['Speech', ' Activities'];tt0108160-094;tt0108160;scene-094.ss-0582.es-0588.srt;tt0108160_scene_94.avi;93
94;1;tt0108160scene-095.ss-0589.es-0601;Not Sure;0.28;['Speech'];tt0108160-095;tt0108160;scene-095.ss-0589.es-0601.srt;tt0108160_scene_95.avi;94
95;1;tt0108160scene-096.ss-0602.es-0614;Hard Neg;0.93;['Speech'];tt0108160-096;tt0108160;scene-096.ss-0602.es-0614.srt;tt0108160_scene_96.avi;95
96;1;tt0108160scene-097.ss-0615.es-0619;Hard Neg;0.33;['Appearance'];tt0108160-097;tt0108160;scene-097.ss-0615.es-0619.srt;tt0108160_scene_97.avi;96
97;1;tt0108160scene-098.ss-0620.es-0631;Hard Neg;1.00;['Appearance'];tt0108160-098;tt0108160;scene-098.ss-0620.es-0631.srt;tt0108160_scene_98.avi;97
98;1;tt0108160scene-099.ss-0632.es-0633;Sure;0.40;['Type of plan', ' Body', ' Speech', ' Activities'];tt0108160-099;tt0108160;scene-099.ss-0632.es-0633.srt;tt0108160_scene_99.avi;98
99;1;tt0108160scene-100.ss-0634.es-0640;Easy Neg;1.00;[''];tt0108160-100;tt0108160;scene-100.ss-0634.es-0640.srt;tt0108160_scene_100.avi;99
100;1;tt0108160scene-101.ss-0641.es-0643;Easy Neg;1.00;[''];tt0108160-101;tt0108160;scene-101.ss-0641.es-0643.srt;tt0108160_scene_101.avi;100
101;1;tt0108160scene-102.ss-0644.es-0647;Hard Neg;0.84;['Speech'];tt0108160-102;tt0108160;scene-102.ss-0644.es-0647.srt;tt0108160_scene_102.avi;101
102;0;tt0108160scene-103.ss-0648.es-0649;Hard Neg;0.64;['Speech'];tt0108160-103;tt0108160;scene-103.ss-0648.es-0649.srt;;-1
103;1;tt0108160scene-104.ss-0650.es-0654;Easy Neg;1.00;[''];tt0108160-104;tt0108160;scene-104.ss-0650.es-0654.srt;tt0108160_scene_104.avi;103
104;1;tt0108160scene-105.ss-0655.es-0673;Hard Neg;0.93;['Speech', ' Exp of  emotion'];tt0108160-105;tt0108160;scene-105.ss-0655.es-0673.srt;tt0108160_scene_105.avi;104
105;1;tt0108160scene-106.ss-0674.es-0684;Hard Neg;0.95;['Voice'];tt0108160-106;tt0108160;scene-106.ss-0674.es-0684.srt;tt0108160_scene_106.avi;105
106;0;tt0108160scene-107.ss-0685.es-0691;Hard Neg;0.28;['Speech'];tt0108160-107;tt0108160;scene-107.ss-0685.es-0691.srt;;-1
107;1;tt0108160scene-108.ss-0692.es-0695;Hard Neg;1.00;['Speech'];tt0108160-108;tt0108160;scene-108.ss-0692.es-0695.srt;tt0108160_scene_108.avi;107
108;1;tt0108160scene-109.ss-0696.es-0720;Hard Neg;0.64;['Speech'];tt0108160-109;tt0108160;scene-109.ss-0696.es-0720.srt;tt0108160_scene_109.avi;108
109;0;tt0108160scene-110.ss-0721.es-0721;Easy Neg;0.99;[''];tt0108160-110;tt0108160;scene-110.ss-0721.es-0721.srt;;-1
110;0;tt0110912scene-001.ss-0001.es-0001;Easy Neg;1.00;[''];tt0110912-001;tt0110912;scene-001.ss-0001.es-0001.srt;tt0110912_scene_1.mp4;-1
111;1;tt0110912scene-002.ss-0002.es-0019;Hard Neg;0.23;['Speech'];tt0110912-002;tt0110912;scene-002.ss-0002.es-0019.srt;tt0110912_scene_2.mkv;1
112;1;tt0110912scene-003.ss-0020.es-0020;Not Sure;1.00;['Type of plan', ' Speech', ' Look'];tt0110912-003;tt0110912;scene-003.ss-0020.es-0020.srt;;2
113;1;tt0110912scene-004.ss-0021.es-0035;Hard Neg;1.00;['Speech'];tt0110912-004;tt0110912;scene-004.ss-0021.es-0035.srt;tt0110912_scene_4.mkv;3
114;1;tt0110912scene-005.ss-0036.es-0042;Hard Neg;1.00;['Speech'];tt0110912-005;tt0110912;scene-005.ss-0036.es-0042.srt;tt0110912_scene_5.mkv;4
115;0;tt0110912scene-006.ss-0043.es-0063;Easy Neg;1.00;[''];tt0110912-006;tt0110912;scene-006.ss-0043.es-0063.srt;tt0110912_scene_6.mp4;-1
116;1;tt0110912scene-007.ss-0064.es-0078;Easy Neg;1.00;[''];tt0110912-007;tt0110912;scene-007.ss-0064.es-0078.srt;tt0110912_scene_7.mkv;6
117;1;tt0110912scene-008.ss-0079.es-0079;Not Sure;1.00;['Speech'];tt0110912-008;tt0110912;scene-008.ss-0079.es-0079.srt;;7
118;1;tt0110912scene-009.ss-0080.es-0081;Not Sure;0.64;['Speech'];tt0110912-009;tt0110912;scene-009.ss-0080.es-0081.srt;tt0110912_scene_9.mkv;8
119;1;tt0110912scene-010.ss-0082.es-0083;Not Sure;0.47;['Speech'];tt0110912-010;tt0110912;scene-010.ss-0082.es-0083.srt;tt0110912_scene_10.mkv;9
120;1;tt0110912scene-011.ss-0084.es-0085;Hard Neg;1.00;['Speech'];tt0110912-011;tt0110912;scene-011.ss-0084.es-0085.srt;tt0110912_scene_11.mkv;10
121;1;tt0110912scene-012.ss-0086.es-0127;Easy Neg;1.00;[''];tt0110912-012;tt0110912;scene-012.ss-0086.es-0127.srt;tt0110912_scene_12.mkv;11
122;1;tt0110912scene-013.ss-0128.es-0142;Easy Neg;1.00;[''];tt0110912-013;tt0110912;scene-013.ss-0128.es-0142.srt;tt0110912_scene_13.mkv;12
123;1;tt0110912scene-014.ss-0143.es-0148;Easy Neg;1.00;[''];tt0110912-014;tt0110912;scene-014.ss-0143.es-0148.srt;tt0110912_scene_14.mkv;13
124;1;tt0110912scene-015.ss-0149.es-0173;Sure;0.37;['Speech'];tt0110912-015;tt0110912;scene-015.ss-0149.es-0173.srt;tt0110912_scene_15.mkv;14
125;1;tt0110912scene-016.ss-0174.es-0185;Easy Neg;0.32;[''];tt0110912-016;tt0110912;scene-016.ss-0174.es-0185.srt;tt0110912_scene_16.mkv;15
126;1;tt0110912scene-017.ss-0186.es-0187;Easy Neg;1.00;[''];tt0110912-017;tt0110912;scene-017.ss-0186.es-0187.srt;tt0110912_scene_17.mkv;16
127;1;tt0110912scene-018.ss-0188.es-0188;Easy Neg;1.00;[''];tt0110912-018;tt0110912;scene-018.ss-0188.es-0188.srt;tt0110912_scene_18.mkv;17
128;1;tt0110912scene-019.ss-0189.es-0197;Hard Neg;0.54;['Speech'];tt0110912-019;tt0110912;scene-019.ss-0189.es-0197.srt;tt0110912_scene_19.mkv;18
129;1;tt0110912scene-020.ss-0198.es-0200;Easy Neg;0.87;[''];tt0110912-020;tt0110912;scene-020.ss-0198.es-0200.srt;tt0110912_scene_20.mkv;19
130;1;tt0110912scene-021.ss-0201.es-0207;Not Sure;1.00;['Voice', ' Speech'];tt0110912-021;tt0110912;scene-021.ss-0201.es-0207.srt;tt0110912_scene_21.mkv;20
131;1;tt0110912scene-022.ss-0208.es-0213;Not Sure;1.00;['Speech'];tt0110912-022;tt0110912;scene-022.ss-0208.es-0213.srt;tt0110912_scene_22.mkv;21
132;1;tt0110912scene-023.ss-0214.es-0218;Easy Neg;1.00;[''];tt0110912-023;tt0110912;scene-023.ss-0214.es-0218.srt;tt0110912_scene_23.mkv;22
133;1;tt0110912scene-024.ss-0219.es-0219;Sure;0.24;['Speech'];tt0110912-024;tt0110912;scene-024.ss-0219.es-0219.srt;tt0110912_scene_24.mkv;23
134;1;tt0110912scene-025.ss-0220.es-0228;Easy Neg;1.00;[''];tt0110912-025;tt0110912;scene-025.ss-0220.es-0228.srt;tt0110912_scene_25.mkv;24
135;0;tt0110912scene-026.ss-0229.es-0238;Easy Neg;1.00;[''];tt0110912-026;tt0110912;scene-026.ss-0229.es-0238.srt;tt0110912_scene_26.mp4;-1
136;0;tt0110912scene-027.ss-0239.es-0241;Not Sure;0.35;['Voice', ' Speech'];tt0110912-027;tt0110912;scene-027.ss-0239.es-0241.srt;tt0110912_scene_27.mp4;-1
137;1;tt0110912scene-028.ss-0242.es-0248;Not Sure;1.00;['Voice', ' Speech'];tt0110912-028;tt0110912;scene-028.ss-0242.es-0248.srt;tt0110912_scene_28.mkv;27
138;0;tt0110912scene-029.ss-0249.es-0262;Not Sure;1.00;['Voice', ' Speech'];tt0110912-029;tt0110912;scene-029.ss-0249.es-0262.srt;tt0110912_scene_29.mp4;-1
139;1;tt0110912scene-030.ss-0263.es-0264;Hard Neg;0.75;['Speech'];tt0110912-030;tt0110912;scene-030.ss-0263.es-0264.srt;tt0110912_scene_30.mkv;29
140;1;tt0110912scene-031.ss-0265.es-0266;Not Sure;1.00;['Clothes'];tt0110912-031;tt0110912;scene-031.ss-0265.es-0266.srt;tt0110912_scene_31.mkv;30
141;1;tt0110912scene-032.ss-0267.es-0267;Sure;0.72;['Voice', ' Appearance', ' Clothes', ' Look'];tt0110912-032;tt0110912;scene-032.ss-0267.es-0267.srt;tt0110912_scene_32.mkv;31
142;1;tt0110912scene-033.ss-0268.es-0273;Sure;0.22;['Voice', ' Appearance', ' Clothes', ' Look'];tt0110912-033;tt0110912;scene-033.ss-0268.es-0273.srt;tt0110912_scene_33.mkv;32
143;1;tt0110912scene-034.ss-0274.es-0287;Easy Neg;0.95;[''];tt0110912-034;tt0110912;scene-034.ss-0274.es-0287.srt;tt0110912_scene_34.mkv;33
144;1;tt0110912scene-035.ss-0288.es-0294;Hard Neg;1.00;['Look'];tt0110912-035;tt0110912;scene-035.ss-0288.es-0294.srt;tt0110912_scene_35.mkv;34
145;1;tt0110912scene-036.ss-0295.es-0313;Not Sure;0.71;['Speech'];tt0110912-036;tt0110912;scene-036.ss-0295.es-0313.srt;tt0110912_scene_36.mkv;35
146;1;tt0110912scene-037.ss-0314.es-0324;Hard Neg;1.00;['Posture', ' Speech'];tt0110912-037;tt0110912;scene-037.ss-0314.es-0324.srt;tt0110912_scene_37.mkv;36
147;1;tt0110912scene-038.ss-0325.es-0337;Hard Neg;1.00;['Look'];tt0110912-038;tt0110912;scene-038.ss-0325.es-0337.srt;tt0110912_scene_38.mkv;37
148;1;tt0110912scene-039.ss-0338.es-0352;Hard Neg;1.00;['Look'];tt0110912-039;tt0110912;scene-039.ss-0338.es-0352.srt;tt0110912_scene_39.mkv;38
149;1;tt0110912scene-040.ss-0353.es-0357;Not Sure;0.99;['Activities'];tt0110912-040;tt0110912;scene-040.ss-0353.es-0357.srt;tt0110912_scene_40.mkv;39
150;1;tt0110912scene-041.ss-0358.es-0359;Not Sure;1.00;['Activities'];tt0110912-041;tt0110912;scene-041.ss-0358.es-0359.srt;tt0110912_scene_41.mkv;40
